frame_number,tracking_id,car_x1,car_y1,car_x2,car_y2,lp_x1,lp_y1,lp_x2,lp_y2,lg_x1,lg_y1,lg_x2,lg_y2,lg_name
0,4,1450.3001708984375,470.6077575683594,1905.031494140625,1020.4065551757812,,,,,,,,,[None]
0,3,824.196044921875,441.4058532714844,1496.3892822265625,937.7778930664062,1123.4693603515625,678.1079406738281,1247.2832946777344,751.4504699707031,1161.3900451660156,638.0302581787109,1217.2189636230469,686.5193786621094,Honda
0,2,827.6873168945312,438.9894104003906,1497.85595703125,935.3626708984375,1124.2970275878906,678.2689819335938,1248.3434143066406,751.9448547363281,1162.0614624023438,637.5469207763672,1217.3055114746094,685.9506683349609,Honda
0,1,1449.77392578125,471.35491943359375,1904.767822265625,1022.604736328125,,,,,,,,,[None]
1,3,824.1083454502327,441.1023298832599,1495.373759379684,935.9012753424711,1123.7443317783577,678.1186262699787,1247.0266804111702,751.3710371586506,1161.267128409217,637.8578535649006,1216.9109882724983,686.1831099125568,Honda
1,2,827.4898798079303,438.6884198498026,1496.8632053887595,933.8848779502837,1123.9564935774615,679.9314160656229,1247.7860834212115,751.9530988048807,1161.2557184309771,639.1114087414041,1216.3898431868365,685.9253735851541,Honda
1,1,1450.1825336967975,471.34816350513256,1904.8099749876053,1022.3370445735422,,,,,,,,,[None]
2,3,824.0611855256723,441.5914957813785,1495.7761062430948,936.9493500274092,1123.7067848909066,678.7239725880191,1246.8700234162973,751.7329447559879,1161.2419106233285,638.3223917774723,1216.622373269813,686.6719858936832,Honda
2,2,827.5107395208454,439.0875005818599,1497.5899206436177,935.0950357534783,1123.9745761907673,678.4991827107661,1248.1010715520954,752.0356512166255,1161.9988681829548,637.7781286336177,1216.9666416204548,685.9122076131099,Honda
2,1,1449.939678430596,471.33617196152557,1904.7944502895384,1022.7381694489371,,,,,,,,,[None]
3,3,824.078501891026,442.09297439258853,1494.9828092553003,938.1909854717687,1124.7122604359479,679.4107386748151,1247.1237899769635,749.3983943144635,1161.5893051136823,638.7278773466901,1215.6809188832135,685.4302241484479,Honda
3,2,827.239204588313,439.5538560366869,1496.3977244101156,936.2185964426546,1124.1890336898755,679.1934281802417,1247.665992918391,749.9314195132495,1161.941139402766,638.1666795230151,1215.7400285629224,686.0512010073901,Honda
3,1,1450.3717913886567,471.1321050914864,1904.8949084340375,1022.4053434598404,,,,,,,,,[None]
4,3,824.4099556452602,442.14311770982795,1494.794592936842,939.0077405056579,1123.7081429011196,678.8263910252576,1248.0710884577602,750.5275476414686,1161.893293047604,637.7576959568983,1216.1402412897914,684.8335779149061,Honda
